id	symbol	chr	strand	nprots	ntrans	SV	WT	WT_prots	SV_prots	min_skipped_exon	max_skipped_exon	min_skipped_bases	max_skipped_bases
ENSG00000136682	CBWD2	2	+	7	7	114222751:114239754	114222751:114228610|114228667:114239754	ENSP00000259199|ENSP00000401945	ENSP00000411906	1	1	57	57	
ENSG00000086827	ZW10	11	-	3	3	113629429:113639555	113631091:113631235|113631313:113631539|113629429:113630931|113631641:113639555	ENSP00000200135|ENSP00000440879	ENSP00000439197	3	3	340	340	
ENSG00000112493	TAPBP	HSCHR6_MHC_COX	-	6	6	33194784:33202602	33197551:33202602|33194784:33197497	ENSP00000363696	ENSP00000363700|ENSP00000378546|ENSP00000446854	1	1	54	54	
ENSG00000112493	TAPBP	HSCHR6_MHC_COX	-	6	6	33194784:33203079	33197551:33202602|33194784:33202602|33194784:33197497|33202863:33203079	ENSP00000363696|ENSP00000363700|ENSP00000378546|ENSP00000446854	ENSP00000415565|ENSP00000450358	1	2	261	315	
ENSG00000215883	CYB5RL	1	-	11	11	54653413:54661092	54656570:54661092|54653413:54656411|54653413:54656421	ENSP00000409075|ENSP00000431428|ENSP00000434343|ENSP00000287899|ENSP00000438151|ENSP00000443797	ENSP00000403021|ENSP00000394709	1	1	149	159	
ENSG00000215883	CYB5RL	1	-	11	11	54640496:54649834	54640496:54644822|54645026:54649834	ENSP00000409075|ENSP00000383825|ENSP00000434343|ENSP00000438151	ENSP00000287899|ENSP00000443797	1	1	204	204	
ENSG00000128731	HERC2	15	-	3	3	28397977:28412833	28397977:28408240|28408432:28412833	ENSP00000261609	ENSP00000457745	1	1	192	192	
ENSG00000153207	AHCTF1	1	-	5	5	247006079:247012917	247007231:247012917|247006079:247007097	ENSP00000355464|ENSP00000355465|ENSP00000375705	ENSP00000418007	1	1	134	134	
ENSG00000088053	GP6	19	-	3	3	55530080:55538946	55536640:55538946|55530080:55536586	ENSP00000394922|ENSP00000308782	ENSP00000334552	1	1	54	54	
ENSG00000168452	PPT2	HSCHR6_MHC_MANN	+	15	15	32162002:32162894	32162408:32162894|32162002:32162254	ENSP00000399320|ENSP00000398462|ENSP00000408703|ENSP00000433323|ENSP00000412827|ENSP00000389930|ENSP00000432308|ENSP00000392069|ENSP00000447998|ENSP00000447950	ENSP00000415798	1	1	154	154	
ENSG00000168452	PPT2	HSCHR6_MHC_MANN	+	15	15	32169830:32173345	32171865:32173345|32169830:32171786|32171889:32173345	ENSP00000433323|ENSP00000432308|ENSP00000432657|ENSP00000447998	ENSP00000449983	1	1	79	103	
ENSG00000175287	PHYHD1	9	+	12	12	131698925:131702648	131698925:131700036|131700058:131702648	ENSP00000361673|ENSP00000412377	ENSP00000309515|ENSP00000407232	1	1	22	22	
ENSG00000175287	PHYHD1	9	+	12	12	131698783:131700036	131698925:131700036|131698783:131698862	ENSP00000361673|ENSP00000401991|ENSP00000412377	ENSP00000340945|ENSP00000409928	1	1	63	63	
ENSG00000175287	PHYHD1	9	+	12	12	131702777:131703724	131702995:131703724|131702777:131702878	ENSP00000361673|ENSP00000309515|ENSP00000340945|ENSP00000409928	ENSP00000407232|ENSP00000399438	1	1	117	117	
ENSG00000184674	GSTT1	22	-	12	12	24376618:24379361	24376618:24376822|24376999:24379361	ENSP00000248935	ENSP00000389481	1	1	177	177	
ENSG00000184674	GSTT1	22	-	12	12	24376999:24384120	24376999:24383886|24379512:24381700|24383888:24384120|24379451:24381700|24381788:24384120|24376999:24379361	ENSP00000248935|ENSP00000414223|ENSP00000372242	ENSP00000406746	1	2	2	239	
ENSG00000184674	GSTT1	22	-	12	12	24381788:24384120	24381788:24382973|24383082:24384120	ENSP00000399037	ENSP00000248935|ENSP00000414223|ENSP00000397362	1	1	109	109	
ENSG00000184674	GSTT1	22	-	12	12	24379451:24384120	24379451:24381700|24381788:24384120	ENSP00000414223	ENSP00000400343	1	1	88	88	
ENSG00000184674	GSTT1	22	-	12	12	24379512:24384120	24381788:24382973|24379512:24381700|24383082:24384120|24381788:24384120	ENSP00000248935|ENSP00000399037	ENSP00000396227	1	2	88	197	
ENSG00000184674	GSTT1	22	-	12	12	24376618:24384120	24376999:24383886|24379512:24381700|24383888:24384120|24376618:24376822|24381788:24384120|24376999:24379361	ENSP00000248935|ENSP00000372242	ENSP00000407573|ENSP00000406003	2	3	179	416	
ENSG00000140525	FANCI	15	+	11	11	89837229:89843031	89837229:89838146|89838326:89843031	ENSP00000310842	ENSP00000300027|ENSP00000413249|ENSP00000455189	1	1	180	180	
ENSG00000140525	FANCI	15	+	11	11	89848930:89850707	89848930:89849241|89848930:89849238|89849426:89850707	ENSP00000300027|ENSP00000310842|ENSP00000455189	ENSP00000413249	1	1	185	188	
ENSG00000145736	GTF2H2	5	-	6	6	70356758:70357515	70356758:70357099|70357136:70357515	ENSP00000274400|ENSP00000328901|ENSP00000429126|ENSP00000429057	ENSP00000428718	1	1	37	37	
ENSG00000126259	KIRREL2	19	+	5	5	36348083:36349310	36348083:36348247|36348397:36349310	ENSP00000262625|ENSP00000353331|ENSP00000342521	ENSP00000345067	1	1	150	150	
ENSG00000126259	KIRREL2	19	+	5	5	36352927:36353829	36352927:36353395|36353500:36353829	ENSP00000262625|ENSP00000345067|ENSP00000353331|ENSP00000342521	ENSP00000270294	1	1	105	105	
ENSG00000204930	C9orf128	9	-	4	4	35819998:35825227	35821626:35825227|35819998:35821435	ENSP00000373602	ENSP00000415299|ENSP00000367222	1	1	191	191	
ENSG00000213494	CCL14	17	-	3	3	34311489:34313607	34312832:34313607|34311489:34312784	ENSP00000441771|ENSP00000409197	ENSP00000378017	1	1	48	48	
ENSG00000113520	IL4	5	+	2	2	132009878:132015406	132009878:132010151|132010199:132015406	ENSP00000231449	ENSP00000325190	1	1	48	48	
ENSG00000109107	ALDOC	17	-	4	4	26901260:26901714	26901260:26901512|26901596:26901714	ENSP00000226253|ENSP00000378731	ENSP00000378729	1	1	84	84	
ENSG00000170445	HARS	5	-	10	10	140057601:140070440	140059469:140070440|140057601:140058647|140062805:140070440|140059469:140062685|140058713:140059373|140057601:140062685|140057601:140058587	ENSP00000425634|ENSP00000387893|ENSP00000304668|ENSP00000411511|ENSP00000411085	ENSP00000393244	1	3	120	342	
ENSG00000170445	HARS	5	-	10	10	140059469:140070440	140062805:140070440|140059469:140062685	ENSP00000425634|ENSP00000387893	ENSP00000304668|ENSP00000411511	1	1	120	120	
ENSG00000170445	HARS	5	-	10	10	140057006:140057493	140057339:140057493|140057006:140057240	ENSP00000425634|ENSP00000387893|ENSP00000393244|ENSP00000430063|ENSP00000304668|ENSP00000411511|ENSP00000411085	ENSP00000413605	1	1	99	99	
ENSG00000170445	HARS	5	-	10	10	140057601:140062685	140057601:140058647|140059469:140062685|140058713:140059373|140057601:140058587	ENSP00000425634|ENSP00000387893|ENSP00000430063	ENSP00000411085	2	2	162	222	
ENSG00000170445	HARS	5	-	10	10	140057339:140062685	140057601:140058647|140059469:140062685|140058713:140059373|140057601:140062685|140057339:140057493|140057601:140058587	ENSP00000425634|ENSP00000387893|ENSP00000430063|ENSP00000411085	ENSP00000425889	1	3	108	330	
ENSG00000007541	PIGQ	16	+	11	11	630973:632248	630973:631199|631342:632248	ENSP00000410434|ENSP00000409341	ENSP00000386760|ENSP00000326674|ENSP00000439374	1	1	143	143	
ENSG00000007541	PIGQ	16	+	11	11	630973:632883	632310:632883|630973:632248	ENSP00000386760|ENSP00000326674|ENSP00000439374	ENSP00000026218	1	1	62	62	
ENSG00000007541	PIGQ	16	+	11	11	629181:630858	629181:630183|630264:630858	ENSP00000386760|ENSP00000326674|ENSP00000026218|ENSP00000410434|ENSP00000409341	ENSP00000439374	1	1	81	81	
ENSG00000152413	HOMER1	5	-	4	4	78672021:78734833	78697879:78734833|78692727:78693350|78693461:78697722|78672021:78692646	ENSP00000334382	ENSP00000426651	3	3	349	349	
ENSG00000152413	HOMER1	5	-	4	4	78693461:78746813	78697879:78734833|78693461:78697722|78734973:78742876|78742969:78746813	ENSP00000334382	ENSP00000282260	3	3	390	390	
ENSG00000152413	HOMER1	5	-	4	4	78697879:78808593	78752842:78808593|78697879:78734833|78734973:78742876|78746945:78752685|78742969:78746813	ENSP00000334382	ENSP00000441587	4	4	522	522	
ENSG00000257335	MGAM	7	+	5	5	141765269:141794420	141786129:141786455|141768504:141770794|141780746:141781842|141784445:141785633|141765269:141765388|141765632:141766373|141792409:141793212|141794298:141794420|141766522:141767141|141783214:141784319|141778271:141778608|141782011:141782275|141776053:141776459|141786518:141791713|141773974:141776003|141776627:141778118|141778809:141780591|141782372:141783101|141791848:141792321|141770919:141773882|141793351:141794164|141765423:141765515|141767226:141768447|141785762:141786018	ENSP00000417515	ENSP00000447378	23	23	2691	2691	
ENSG00000126549	STATH	4	+	2	2	70865405:70866580	70865527:70866580|70865405:70865497	ENSP00000246895	ENSP00000370448	1	1	30	30	
ENSG00000203734	ECT2L	6	+	4	4	139204009:139207994	139206717:139206811|139204009:139206643|139206968:139207994	ENSP00000387388|ENSP00000356655	ENSP00000442307	2	2	231	231	
ENSG00000004809	SLC22A16	6	-	8	8	110768194:110778103	110768194:110777741|110778007:110778103	ENSP00000328583	ENSP00000409306	1	1	266	266	
ENSG00000213889	PPM1N	19	+	11	11	46003820:46005275	46003820:46003908|46003820:46003939|46003969:46005275|46003820:46003948	ENSP00000384318|ENSP00000379963|ENSP00000379960|ENSP00000379961|ENSP00000384809|ENSP00000379962	ENSP00000389871	1	1	21	61	
ENSG00000153975	ZUFSP	6	-	2	2	116973356:116979966	116978016:116979966|116973356:116977847	ENSP00000357565	ENSP00000357562	1	1	169	169	
ENSG00000170144	HNRNPA3	2	+	6	6	178081669:178083765	178082574:178083765|178081669:178082433	ENSP00000376309|ENSP00000408487|ENSP00000416340	ENSP00000400688	1	1	141	141	
ENSG00000167755	KLK6	19	-	6	6	51462573:51470425	51465137:51466558|51466806:51470425|51462573:51465000	ENSP00000309148|ENSP00000366047	ENSP00000366049	2	2	385	385	
ENSG00000167755	KLK6	19	-	6	6	51466806:51471321	51470582:51471321|51466806:51470425	ENSP00000309148|ENSP00000366047	ENSP00000396012	1	1	157	157	
ENSG00000260380	FRG1	HG1032_PATCH	+	4	4	190873443:190878553	190874281:190876192|190873443:190874223|190876307:190878553	ENSP00000454708|ENSP00000457797	ENSP00000455022	2	2	173	173	
ENSG00000171189	GRIK1	21	-	10	10	30909707:30927373	30910206:30927373|30909707:30910119	ENSP00000327687|ENSP00000382798	ENSP00000373777|ENSP00000382797|ENSP00000446326|ENSP00000443188	1	1	87	87	
ENSG00000171189	GRIK1	21	-	10	10	30963546:30971150	30963546:30968846|30968891:30971150	ENSP00000327687|ENSP00000382797|ENSP00000446326|ENSP00000373776|ENSP00000382791|ENSP00000311646	ENSP00000373777|ENSP00000382798|ENSP00000443188|ENSP00000382793	1	1	45	45	
ENSG00000171189	GRIK1	21	-	10	10	30959910:30963432	30961363:30963432|30959910:30961159	ENSP00000327687|ENSP00000373777|ENSP00000382797|ENSP00000382798|ENSP00000446326|ENSP00000373776|ENSP00000382791|ENSP00000382793|ENSP00000311646	ENSP00000443188	1	1	204	204	
ENSG00000171189	GRIK1	21	-	10	10	31062306:31311701	31066383:31311701|31062306:31066215	ENSP00000327687|ENSP00000373777|ENSP00000382797|ENSP00000382798|ENSP00000446326|ENSP00000373776|ENSP00000382791|ENSP00000382793|ENSP00000311646	ENSP00000443188	1	1	168	168	
ENSG00000214597	GS1-393G12.10	8	-	3	3	145577810:145578277	145577810:145577897|145577992:145578277	ENSP00000381630|ENSP00000436572	ENSP00000435362	1	1	95	95	
ENSG00000011523	CEP68	2	+	5	5	65301539:65309670	65301539:65305002|65305099:65309670	ENSP00000367229|ENSP00000260569	ENSP00000438306	1	1	97	97	
ENSG00000135373	EHF	11	+	10	10	34673158:34678455	34673353:34678455|34673158:34673284	ENSP00000257831|ENSP00000433508|ENSP00000435837|ENSP00000435835	ENSP00000399733|ENSP00000432905	1	1	69	69	
ENSG00000089902	RCOR1	14	+	3	3	103187422:103188524	103187715:103188524|103187422:103187657	ENSP00000262241|ENSP00000459789	ENSP00000454204	1	1	58	58	
ENSG00000058091	CDK14	7	+	10	10	90356127:90419888	90377091:90419888|90356127:90376996	ENSP00000393616|ENSP00000410770|ENSP00000394570|ENSP00000406848|ENSP00000369390|ENSP00000265741|ENSP00000385034	ENSP00000387794|ENSP00000398936	1	1	95	95	
ENSG00000234846	NEU1	HSCHR6_MHC_SSTO	-	3	3	31821118:31822285	31821118:31821666|31821859:31822285	ENSP00000431628|ENSP00000399309	ENSP00000436207	1	1	193	193	
ENSG00000156787	WDR67	8	+	15	15	124089498:124096402	124089498:124094942|124095058:124096402	ENSP00000287380|ENSP00000308358|ENSP00000312701|ENSP00000428891	ENSP00000428486|ENSP00000429334|ENSP00000430628|ENSP00000440772|ENSP00000367320	1	1	116	116	
ENSG00000156787	WDR67	8	+	15	15	124153142:124156957	124153142:124154502|124154697:124156957	ENSP00000287380|ENSP00000429334|ENSP00000430628|ENSP00000429494	ENSP00000308358|ENSP00000312701	1	1	195	195	
ENSG00000156787	WDR67	8	+	15	15	124085087:124117528	124096581:124105831|124085087:124089351|124105983:124109522|124109682:124113047|124113248:124117528|124089498:124094942|124095058:124096402	ENSP00000287380|ENSP00000308358|ENSP00000312701	ENSP00000430927	6	6	955	955	
ENSG00000156787	WDR67	8	+	15	15	124142574:124153001	124142574:124146354|124146447:124153001	ENSP00000287380|ENSP00000308358|ENSP00000429334|ENSP00000430628|ENSP00000429494	ENSP00000312701	1	1	93	93	
ENSG00000156787	WDR67	8	+	15	15	124138928:124141310	124140754:124141310|124138928:124140521	ENSP00000367320	ENSP00000429494	1	1	233	233	
ENSG00000156787	WDR67	8	+	15	15	124121861:124138296	124121861:124132295|124132429:124138296	ENSP00000287380|ENSP00000308358|ENSP00000312701|ENSP00000429334|ENSP00000430628|ENSP00000367320|ENSP00000429494	ENSP00000432064	1	1	134	134	
ENSG00000161013	MGAT4B	5	-	11	11	179226122:179226954	179226251:179226954|179226122:179226203|179226308:179226506|179226637:179226954|179226311:179226506	ENSP00000428906|ENSP00000338487|ENSP00000292591|ENSP00000431093|ENSP00000428764	ENSP00000430721	1	2	48	239	
ENSG00000161013	MGAT4B	5	-	11	11	179227954:179228554	179228468:179228554|179227954:179228334	ENSP00000338487|ENSP00000292591|ENSP00000430721	ENSP00000430376	1	1	134	134	
ENSG00000143633	C1orf131	1	-	5	5	231362815:231374603	231364956:231374603|231364953:231374603|231362815:231364896	ENSP00000355609|ENSP00000321341|ENSP00000355611	ENSP00000355608|ENSP00000401677	1	1	57	60	
ENSG00000035115	SH3YL1	2	-	12	12	219002:229966	224921:229966|219002:224864	ENSP00000404143|ENSP00000384269|ENSP00000348471	ENSP00000384276|ENSP00000385668|ENSP00000383928|ENSP00000416312	1	1	57	57	
ENSG00000035115	SH3YL1	2	-	12	12	231192:234160	231192:233101|233230:234160	ENSP00000404143|ENSP00000384276|ENSP00000385668|ENSP00000384269|ENSP00000348471|ENSP00000383928|ENSP00000441266	ENSP00000416312|ENSP00000399519	1	1	129	129	
ENSG00000074621	SLC24A1	15	+	7	7	65918309:65931933	65918309:65930466|65930520:65931933	ENSP00000261892|ENSP00000381991	ENSP00000439693|ENSP00000341837|ENSP00000439190	1	1	54	54	
ENSG00000074621	SLC24A1	15	+	7	7	65918309:65942720	65918309:65930466|65936852:65937950|65938042:65942720|65930520:65931933|65918309:65931933|65932042:65936765	ENSP00000439693|ENSP00000261892|ENSP00000341837|ENSP00000381991|ENSP00000439190	ENSP00000445163	3	4	288	342	
ENSG00000074621	SLC24A1	15	+	7	7	65943281:65944980	65943281:65944008|65944098:65944980	ENSP00000439693|ENSP00000261892|ENSP00000341837|ENSP00000445163|ENSP00000439190	ENSP00000381991	1	1	90	90	
ENSG00000142082	SIRT3	11	-	13	13	224240:236194	230553:232983|224240:230452|233438:236194|233216:233343	ENSP00000435464	ENSP00000434747	3	3	429	429	
ENSG00000142082	SIRT3	11	-	13	13	233216:236048	233535:236048|233216:233343	ENSP00000372191|ENSP00000433077	ENSP00000432937	1	1	192	192	
ENSG00000142082	SIRT3	11	-	13	13	219042:230452	224240:230452|219042:224078	ENSP00000372191|ENSP00000435464|ENSP00000432937|ENSP00000437216	ENSP00000433077	1	1	162	162	
ENSG00000082641	NFE2L1	17	+	4	4	46133961:46134706	46133961:46134394|46134484:46134706	ENSP00000354855|ENSP00000355190	ENSP00000350072|ENSP00000445811	1	1	90	90	
ENSG00000126952	NXF5	X	-	8	8	101096531:101097714	101096531:101096646|101096751:101096862|101096946:101097714	ENSP00000263032|ENSP00000361889|ENSP00000422976|ENSP00000442401|ENSP00000426978|ENSP00000355286	ENSP00000354539|ENSP00000331535	2	2	189	189	
ENSG00000087274	ADD1	4	+	15	15	2910332:2916611	2910332:2911066|2911159:2916611	ENSP00000348100	ENSP00000264758|ENSP00000399828|ENSP00000381193|ENSP00000421907|ENSP00000423024|ENSP00000381191|ENSP00000381197|ENSP00000424143	1	1	93	93	
ENSG00000087274	ADD1	4	+	15	15	2927840:2929898	2927840:2928012|2928044:2929898	ENSP00000441388	ENSP00000264758|ENSP00000399828|ENSP00000381197|ENSP00000424143|ENSP00000438069	1	1	32	32	
ENSG00000087274	ADD1	4	+	15	15	2877838:2886242	2877838:2883625|2883788:2886242	ENSP00000264758|ENSP00000399828|ENSP00000381193|ENSP00000381192|ENSP00000421918|ENSP00000421907|ENSP00000423024|ENSP00000348100|ENSP00000381191|ENSP00000381197	ENSP00000425703	1	1	163	163	
ENSG00000087274	ADD1	4	+	15	15	2877838:2895740	2877838:2883625|2886394:2895740|2883788:2886242	ENSP00000264758|ENSP00000399828|ENSP00000381193|ENSP00000381192|ENSP00000421907|ENSP00000423024|ENSP00000348100|ENSP00000381191|ENSP00000381197	ENSP00000426700	2	2	315	315	
ENSG00000087274	ADD1	4	+	15	15	2910332:2927741	2916768:2927741|2910332:2911066|2910332:2916611|2911159:2916611	ENSP00000264758|ENSP00000399828|ENSP00000381193|ENSP00000421907|ENSP00000423024|ENSP00000348100|ENSP00000381191|ENSP00000381197|ENSP00000424143	ENSP00000438069	1	2	157	250	
ENSG00000143457	GOLPH3L	1	-	4	4	150636240:150667132	150636240:150666584|150666650:150667132	ENSP00000357999|ENSP00000410476	ENSP00000271732	1	1	66	66	
ENSG00000143457	GOLPH3L	1	-	4	4	150634405:150667132	150636240:150667132|150634405:150636108|150636240:150666584|150666650:150667132	ENSP00000271732|ENSP00000357999|ENSP00000410476	ENSP00000446070	1	2	132	198	
ENSG00000186073	C15orf41	15	+	10	10	36872163:36946299	36872163:36936479|36936525:36937424|36937489:36946299	ENSP00000455397|ENSP00000401362|ENSP00000456477	ENSP00000457227	2	2	111	111	
ENSG00000143248	RGS5	1	-	5	5	163131767:163172582	163131767:163138048|163138159:163172582	ENSP00000319308|ENSP00000433001	ENSP00000435861	1	1	111	111	
ENSG00000161911	TREML1	6	-	3	3	41119123:41121984	41119123:41121496|41121829:41121984	ENSP00000362219|ENSP00000402855	ENSP00000400405	1	1	333	333	
ENSG00000161911	TREML1	6	-	3	3	41117657:41118557	41117657:41117999|41118052:41118557	ENSP00000362219|ENSP00000400405	ENSP00000402855	1	1	53	53	
ENSG00000110427	C11orf41	11	+	5	5	33605048:33620366	33612968:33620366|33605048:33612783	ENSP00000433481|ENSP00000315295|ENSP00000374376|ENSP00000438441	ENSP00000265654	1	1	185	185	
ENSG00000120992	LYPLA1	8	-	8	8	54963749:54967620	54963749:54965215|54965317:54967620	ENSP00000320043|ENSP00000344477|ENSP00000429163|ENSP00000428729	ENSP00000429281	1	1	102	102	
ENSG00000120992	LYPLA1	8	-	8	8	54974885:54978308	54974885:54975888|54975936:54978308	ENSP00000320043|ENSP00000429281	ENSP00000344477|ENSP00000428729	1	1	48	48	
ENSG00000120992	LYPLA1	8	-	8	8	54963749:55013468	54963749:54965215|54978374:55013468|54965317:54967620|54967694:54974814|54963749:54967620|54974885:54978308|54974885:54975888|54975936:54978308	ENSP00000320043|ENSP00000429281|ENSP00000344477|ENSP00000428729	ENSP00000427967	4	5	259	361	
ENSG00000120992	LYPLA1	8	-	8	8	54975936:55013468	54978374:55013468|54975936:54978308	ENSP00000320043|ENSP00000429281	ENSP00000430791	1	1	66	66	
ENSG00000095951	HIVEP1	6	+	9	9	12126104:12131000	12130126:12131000|12126104:12129992	ENSP00000368698	ENSP00000382395	1	1	134	134	
ENSG00000095951	HIVEP1	6	+	9	9	12131176:12161672	12131176:12136024|12136126:12161672	ENSP00000368698|ENSP00000442381	ENSP00000445617	1	1	102	102	
ENSG00000136930	PSMB7	9	-	3	3	127146936:127174631	127167712:127174631|127146936:127167596	ENSP00000259457	ENSP00000440247	1	1	116	116	
ENSG00000148925	BTBD10	11	-	7	7	13435198:13441007	13438808:13441007|13435198:13438705	ENSP00000278174|ENSP00000431186|ENSP00000435257	ENSP00000435303	1	1	103	103	
ENSG00000165995	CACNB2	10	+	9	9	18787407:18825030	18787407:18789741|18803971:18807265|18795477:18803165|18795477:18803440|18803460:18807265|18807898:18816517|18803299:18807265|18816627:18823005|18795477:18803909|18807346:18807839|18823157:18825030|18789878:18795400	ENSP00000320025|ENSP00000344474|ENSP00000282343|ENSP00000366548|ENSP00000379821|ENSP00000366536|ENSP00000366546|ENSP00000366532	ENSP00000366545	7	7	636	750	
ENSG00000112031	MTRF1L	6	-	5	5	153311231:153313992	153312457:153313992|153311231:153312320	ENSP00000414383|ENSP00000356202	ENSP00000356200|ENSP00000356199	1	1	137	137	
ENSG00000140443	IGF1R	15	+	6	6	99473535:99478545	99478283:99478545|99473535:99478053	ENSP00000268035|ENSP00000453007	ENSP00000453180	1	1	230	230	
ENSG00000157800	SLC37A3	7	-	20	20	140051252:140055468	140051947:140055468|140051252:140051862	ENSP00000343358|ENSP00000397481|ENSP00000321498	ENSP00000417365	1	1	85	85	
ENSG00000157800	SLC37A3	7	-	20	20	140037150:140048426	140037150:140043212|140043364:140045669|140045771:140048426|140043364:140045016|140037150:140045669|140045064:140045669	ENSP00000397481|ENSP00000321498|ENSP00000419285	ENSP00000343358|ENSP00000418136	1	3	102	302	
ENSG00000157800	SLC37A3	7	-	20	20	140043364:140045669	140043364:140045016|140045064:140045669	ENSP00000321498|ENSP00000418158|ENSP00000417461	ENSP00000397481	1	1	48	48	
ENSG00000157800	SLC37A3	7	-	20	20	140035305:140043212	140037150:140043212|140035305:140037084	ENSP00000397481|ENSP00000321498	ENSP00000418610	1	1	66	66	
ENSG00000157800	SLC37A3	7	-	20	20	140035240:140043212	140037150:140043212|140035240:140037084	ENSP00000418158	ENSP00000417380	1	1	66	66	
ENSG00000157800	SLC37A3	7	-	20	20	140037150:140051073	140048568:140051073|140037150:140043212|140043364:140045669|140045771:140048426|140043364:140045016|140037150:140045669|140037150:140048426|140045064:140045669	ENSP00000343358|ENSP00000397481|ENSP00000321498|ENSP00000419285	ENSP00000417447	1	4	142	444	
ENSG00000157800	SLC37A3	7	-	20	20	140037150:140045669	140037150:140043212|140043364:140045669|140043364:140045016|140045064:140045669	ENSP00000397481|ENSP00000321498|ENSP00000418158|ENSP00000417461	ENSP00000419285	1	2	152	200	
ENSG00000157800	SLC37A3	7	-	20	20	140055565:140064208	140055565:140058440|140058586:140064208	ENSP00000417365|ENSP00000343358|ENSP00000397481|ENSP00000321498|ENSP00000420771|ENSP00000442808|ENSP00000419701|ENSP00000417449	ENSP00000412208	1	1	146	146	
ENSG00000157800	SLC37A3	7	-	20	20	140048568:140055468	140048568:140051073|140051947:140055468|140051252:140051862	ENSP00000343358|ENSP00000397481|ENSP00000321498	ENSP00000420771	2	2	264	264	
ENSG00000157800	SLC37A3	7	-	20	20	140058586:140082238	140064292:140069390|140069483:140080082|140080191:140082238|140058586:140064208	ENSP00000417365|ENSP00000343358|ENSP00000397481|ENSP00000321498|ENSP00000442808	ENSP00000418585	3	3	286	286	
ENSG00000157800	SLC37A3	7	-	20	20	140051947:140064208	140051947:140055468|140055565:140058440|140058586:140064208	ENSP00000343358|ENSP00000397481|ENSP00000321498|ENSP00000442808	ENSP00000419024	2	2	243	243	
ENSG00000076555	ACACB	12	+	10	10	109654512:109660312	109654726:109660312|109654512:109654601	ENSP00000341044|ENSP00000367079|ENSP00000374677	ENSP00000367085	1	1	125	125	
ENSG00000138795	LEF1	4	-	8	8	109000771:109004512	109000771:109002742|109002826:109004512	ENSP00000265165|ENSP00000422334|ENSP00000427459	ENSP00000369284|ENSP00000406176|ENSP00000422840	1	1	84	84	
ENSG00000138795	LEF1	4	-	8	8	109004603:109084724	109004603:109010281|109010414:109084724	ENSP00000265165|ENSP00000369284|ENSP00000406176|ENSP00000422840|ENSP00000422334|ENSP00000422801|ENSP00000427365	ENSP00000427459	1	1	133	133	
ENSG00000104907	TRMT1	19	-	3	3	13220653:13220972	13220653:13220729|13220816:13220972	ENSP00000350352|ENSP00000416149	ENSP00000221504	1	1	87	87	
ENSG00000196526	AFAP1	4	-	4	4	7780604:7787921	7783355:7787921|7780604:7783103	ENSP00000410689|ENSP00000371983	ENSP00000353402|ENSP00000351245	1	1	252	252	
ENSG00000120896	SORBS3	8	+	15	15	22422868:22423858	22422868:22423339|22423386:22423858	ENSP00000240123	ENSP00000429723	1	1	47	47	
ENSG00000120896	SORBS3	8	+	15	15	22415706:22421500	22418887:22419378|22415706:22418848|22419445:22421500	ENSP00000240123|ENSP00000429723|ENSP00000428051	ENSP00000428102	2	2	106	106	
ENSG00000120896	SORBS3	8	+	15	15	22423386:22424174	22423998:22424174|22423386:22423858	ENSP00000240123	ENSP00000429058	1	1	140	140	
ENSG00000049130	KITLG	12	-	4	4	88900915:88910111	88909395:88910111|88900915:88909311	ENSP00000367796|ENSP00000228280	ENSP00000054216	1	1	84	84	
ENSG00000049130	KITLG	12	-	4	4	88900915:88926218	88910268:88912474|88909395:88910111|88912645:88926218|88900915:88909311|88900915:88910111	ENSP00000367796|ENSP00000228280|ENSP00000054216	ENSP00000438889	2	3	328	412	
ENSG00000164398	ACSL6	5	-	19	19	131323920:131324498	131323920:131324249|131324294:131324498	ENSP00000368574|ENSP00000413329	ENSP00000415140|ENSP00000368551|ENSP00000368566|ENSP00000349608|ENSP00000368557|ENSP00000296869|ENSP00000368548|ENSP00000368546|ENSP00000445154|ENSP00000368542|ENSP00000442124|ENSP00000397507|ENSP00000398423	1	1	45	45	
ENSG00000176681	LRRC37A	17	+	4	4	44412961:44415041	44414935:44415041|44414717:44414795|44412961:44414662	ENSP00000437021|ENSP00000377109|ENSP00000326324	ENSP00000377108	2	2	195	195	
ENSG00000003987	MTMR7	8	-	4	4	17206591:17228546	17206591:17218626|17218784:17228546	ENSP00000180173|ENSP00000429733	ENSP00000431000	1	1	158	158	
ENSG00000103222	ABCC1	16	+	9	9	16184446:16196484	16184446:16192730|16192760:16196484	ENSP00000382340|ENSP00000440170|ENSP00000461615	ENSP00000382342|ENSP00000263019|ENSP00000263017|ENSP00000263014|ENSP00000263016	1	1	30	30	
ENSG00000103222	ABCC1	16	+	9	9	16177400:16184262	16177400:16180681|16180849:16184262	ENSP00000382342|ENSP00000382340|ENSP00000263014|ENSP00000440170|ENSP00000461615	ENSP00000263019	1	1	168	168	
ENSG00000103222	ABCC1	16	+	9	9	16173336:16180681	16177400:16180681|16173336:16177223	ENSP00000382342|ENSP00000382340|ENSP00000263014|ENSP00000440170|ENSP00000461615	ENSP00000263017	1	1	177	177	
ENSG00000103222	ABCC1	16	+	9	9	16230502:16235030	16232416:16235030|16230502:16232221	ENSP00000382342|ENSP00000382340|ENSP00000263019|ENSP00000263017|ENSP00000263016|ENSP00000440170|ENSP00000461615	ENSP00000263014	1	1	195	195	
